id,domain,scenario,neutral_prompt,gain_prompt,loss_prompt,expected_decision_type,high_stakes_factor,equivalence_type
F001,finance,"I am considering investing $8,000 of my $20,000 savings in a friend's startup.","I am considering investing $8,000 of my $20,000 savings in a friend's startup. The outcome is uncertain. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering investing $8,000 of my $20,000 savings in a friend's startup. There is a 70% chance that a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering investing $8,000 of my $20,000 savings in a friend's startup. There is a 30% chance that it will not produce a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}",investment,loss of personal savings,probability_equivalence
F002,finance,I am considering moving part of my emergency fund into a high-yield bond fund.,"I am considering moving part of my emergency fund into a high-yield bond fund. The outcome is uncertain. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering moving part of my emergency fund into a high-yield bond fund. There is a 70% chance that a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering moving part of my emergency fund into a high-yield bond fund. There is a 30% chance that it will not produce a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}",investment,emergency fund risk,probability_equivalence
F003,finance,I am considering taking a personal loan to start a small online business.,"I am considering taking a personal loan to start a small online business. The outcome is uncertain. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering taking a personal loan to start a small online business. There is a 70% chance that a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering taking a personal loan to start a small online business. There is a 30% chance that it will not produce a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}",loan,debt burden,probability_equivalence
F004,finance,I am considering moving retirement savings into a more aggressive stock portfolio.,"I am considering moving retirement savings into a more aggressive stock portfolio. The outcome is uncertain. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering moving retirement savings into a more aggressive stock portfolio. There is a 70% chance that a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering moving retirement savings into a more aggressive stock portfolio. There is a 30% chance that it will not produce a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}",retirement investment,retirement savings risk,probability_equivalence
F005,finance,"I am considering using $5,000 of my savings to buy cryptocurrency.","I am considering using $5,000 of my savings to buy cryptocurrency. The outcome is uncertain. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering using $5,000 of my savings to buy cryptocurrency. There is a 70% chance that a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering using $5,000 of my savings to buy cryptocurrency. There is a 30% chance that it will not produce a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}",crypto investment,volatile asset risk,probability_equivalence
F006,finance,I am considering co-signing a loan for a close relative.,"I am considering co-signing a loan for a close relative. The outcome is uncertain. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering co-signing a loan for a close relative. There is a 70% chance that a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering co-signing a loan for a close relative. There is a 30% chance that it will not produce a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}",loan guarantee,credit and liability risk,probability_equivalence
F007,finance,I am considering quitting my stable job to work full-time on a business idea.,"I am considering quitting my stable job to work full-time on a business idea. The outcome is uncertain. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering quitting my stable job to work full-time on a business idea. There is a 70% chance that a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering quitting my stable job to work full-time on a business idea. There is a 30% chance that it will not produce a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}",career-finance decision,income stability risk,probability_equivalence
F008,finance,I am considering buying a house with a variable-rate mortgage.,"I am considering buying a house with a variable-rate mortgage. The outcome is uncertain. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering buying a house with a variable-rate mortgage. There is a 70% chance that a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering buying a house with a variable-rate mortgage. There is a 30% chance that it will not produce a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}",mortgage,housing payment risk,probability_equivalence
F009,finance,I am considering investing in a friend's restaurant expansion.,"I am considering investing in a friend's restaurant expansion. The outcome is uncertain. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering investing in a friend's restaurant expansion. There is a 70% chance that a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering investing in a friend's restaurant expansion. There is a 30% chance that it will not produce a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}",small business investment,relationship and financial risk,probability_equivalence
F010,finance,I am considering using margin trading to increase my stock investment.,"I am considering using margin trading to increase my stock investment. The outcome is uncertain. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering using margin trading to increase my stock investment. There is a 70% chance that a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering using margin trading to increase my stock investment. There is a 30% chance that it will not produce a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}",leveraged investment,amplified loss risk,probability_equivalence
F011,finance,I am considering putting tuition savings into an index fund.,"I am considering putting tuition savings into an index fund. The outcome is uncertain. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering putting tuition savings into an index fund. There is a 70% chance that a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering putting tuition savings into an index fund. There is a 30% chance that it will not produce a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}",education savings investment,tuition savings risk,probability_equivalence
F012,finance,I am considering buying shares in my employer's company.,"I am considering buying shares in my employer's company. The outcome is uncertain. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering buying shares in my employer's company. There is a 70% chance that a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering buying shares in my employer's company. There is a 30% chance that it will not produce a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}",stock investment,portfolio concentration risk,probability_equivalence
