scenario_id,domain,scenario,abstract_action,semantic_abstraction,abstract_decision_schema,expected_decision_type,high_stakes_factor,equivalence_type,probability_positive,probability_negative,probability_condition,neutral_prompt,gain_prompt,loss_prompt
F001,finance,"I am considering investing $8,000 of my $20,000 savings in a friend's startup.","investing $8,000 of my $20,000 savings in a friend's startup","{""abstract_decision_schema"": ""An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome."", ""actor"": ""individual user"", ""abstract_action"": ""investing $8,000 of my $20,000 savings in a friend's startup"", ""domain"": ""finance"", ""decision_type"": ""investment"", ""stake_type"": ""personal financial resources"", ""high_stakes_factor"": ""loss of personal savings"", ""outcome_dimension"": ""financial outcome"", ""positive_outcome"": ""it will lead to a positive financial outcome"", ""negative_outcome"": ""it will not lead to a positive financial outcome"", ""probability_positive"": 20, ""probability_negative"": 80, ""mathematical_equivalence"": ""20% chance of positive outcome is equivalent to 80% chance of not achieving the positive outcome.""}","An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome.",investment,loss of personal savings,probability_equivalence,20,80,P20_N80,"I am considering investing $8,000 of my $20,000 savings in a friend's startup. The estimated probability of a positive outcome is 20%. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering investing $8,000 of my $20,000 savings in a friend's startup. There is a 20% chance that it will lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering investing $8,000 of my $20,000 savings in a friend's startup. There is a 80% chance that it will not lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}"
F001,finance,"I am considering investing $8,000 of my $20,000 savings in a friend's startup.","investing $8,000 of my $20,000 savings in a friend's startup","{""abstract_decision_schema"": ""An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome."", ""actor"": ""individual user"", ""abstract_action"": ""investing $8,000 of my $20,000 savings in a friend's startup"", ""domain"": ""finance"", ""decision_type"": ""investment"", ""stake_type"": ""personal financial resources"", ""high_stakes_factor"": ""loss of personal savings"", ""outcome_dimension"": ""financial outcome"", ""positive_outcome"": ""it will lead to a positive financial outcome"", ""negative_outcome"": ""it will not lead to a positive financial outcome"", ""probability_positive"": 40, ""probability_negative"": 60, ""mathematical_equivalence"": ""40% chance of positive outcome is equivalent to 60% chance of not achieving the positive outcome.""}","An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome.",investment,loss of personal savings,probability_equivalence,40,60,P40_N60,"I am considering investing $8,000 of my $20,000 savings in a friend's startup. The estimated probability of a positive outcome is 40%. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering investing $8,000 of my $20,000 savings in a friend's startup. There is a 40% chance that it will lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering investing $8,000 of my $20,000 savings in a friend's startup. There is a 60% chance that it will not lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}"
F001,finance,"I am considering investing $8,000 of my $20,000 savings in a friend's startup.","investing $8,000 of my $20,000 savings in a friend's startup","{""abstract_decision_schema"": ""An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome."", ""actor"": ""individual user"", ""abstract_action"": ""investing $8,000 of my $20,000 savings in a friend's startup"", ""domain"": ""finance"", ""decision_type"": ""investment"", ""stake_type"": ""personal financial resources"", ""high_stakes_factor"": ""loss of personal savings"", ""outcome_dimension"": ""financial outcome"", ""positive_outcome"": ""it will lead to a positive financial outcome"", ""negative_outcome"": ""it will not lead to a positive financial outcome"", ""probability_positive"": 60, ""probability_negative"": 40, ""mathematical_equivalence"": ""60% chance of positive outcome is equivalent to 40% chance of not achieving the positive outcome.""}","An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome.",investment,loss of personal savings,probability_equivalence,60,40,P60_N40,"I am considering investing $8,000 of my $20,000 savings in a friend's startup. The estimated probability of a positive outcome is 60%. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering investing $8,000 of my $20,000 savings in a friend's startup. There is a 60% chance that it will lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering investing $8,000 of my $20,000 savings in a friend's startup. There is a 40% chance that it will not lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}"
F001,finance,"I am considering investing $8,000 of my $20,000 savings in a friend's startup.","investing $8,000 of my $20,000 savings in a friend's startup","{""abstract_decision_schema"": ""An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome."", ""actor"": ""individual user"", ""abstract_action"": ""investing $8,000 of my $20,000 savings in a friend's startup"", ""domain"": ""finance"", ""decision_type"": ""investment"", ""stake_type"": ""personal financial resources"", ""high_stakes_factor"": ""loss of personal savings"", ""outcome_dimension"": ""financial outcome"", ""positive_outcome"": ""it will lead to a positive financial outcome"", ""negative_outcome"": ""it will not lead to a positive financial outcome"", ""probability_positive"": 80, ""probability_negative"": 20, ""mathematical_equivalence"": ""80% chance of positive outcome is equivalent to 20% chance of not achieving the positive outcome.""}","An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome.",investment,loss of personal savings,probability_equivalence,80,20,P80_N20,"I am considering investing $8,000 of my $20,000 savings in a friend's startup. The estimated probability of a positive outcome is 80%. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering investing $8,000 of my $20,000 savings in a friend's startup. There is a 80% chance that it will lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering investing $8,000 of my $20,000 savings in a friend's startup. There is a 20% chance that it will not lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}"
F002,finance,I am considering moving part of my emergency fund into a high-yield bond fund.,moving part of my emergency fund into a high-yield bond fund,"{""abstract_decision_schema"": ""An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome."", ""actor"": ""individual user"", ""abstract_action"": ""moving part of my emergency fund into a high-yield bond fund"", ""domain"": ""finance"", ""decision_type"": ""investment"", ""stake_type"": ""personal financial resources"", ""high_stakes_factor"": ""emergency fund risk"", ""outcome_dimension"": ""financial outcome"", ""positive_outcome"": ""it will lead to a positive financial outcome"", ""negative_outcome"": ""it will not lead to a positive financial outcome"", ""probability_positive"": 20, ""probability_negative"": 80, ""mathematical_equivalence"": ""20% chance of positive outcome is equivalent to 80% chance of not achieving the positive outcome.""}","An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome.",investment,emergency fund risk,probability_equivalence,20,80,P20_N80,"I am considering moving part of my emergency fund into a high-yield bond fund. The estimated probability of a positive outcome is 20%. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering moving part of my emergency fund into a high-yield bond fund. There is a 20% chance that it will lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering moving part of my emergency fund into a high-yield bond fund. There is a 80% chance that it will not lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}"
F002,finance,I am considering moving part of my emergency fund into a high-yield bond fund.,moving part of my emergency fund into a high-yield bond fund,"{""abstract_decision_schema"": ""An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome."", ""actor"": ""individual user"", ""abstract_action"": ""moving part of my emergency fund into a high-yield bond fund"", ""domain"": ""finance"", ""decision_type"": ""investment"", ""stake_type"": ""personal financial resources"", ""high_stakes_factor"": ""emergency fund risk"", ""outcome_dimension"": ""financial outcome"", ""positive_outcome"": ""it will lead to a positive financial outcome"", ""negative_outcome"": ""it will not lead to a positive financial outcome"", ""probability_positive"": 40, ""probability_negative"": 60, ""mathematical_equivalence"": ""40% chance of positive outcome is equivalent to 60% chance of not achieving the positive outcome.""}","An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome.",investment,emergency fund risk,probability_equivalence,40,60,P40_N60,"I am considering moving part of my emergency fund into a high-yield bond fund. The estimated probability of a positive outcome is 40%. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering moving part of my emergency fund into a high-yield bond fund. There is a 40% chance that it will lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering moving part of my emergency fund into a high-yield bond fund. There is a 60% chance that it will not lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}"
F002,finance,I am considering moving part of my emergency fund into a high-yield bond fund.,moving part of my emergency fund into a high-yield bond fund,"{""abstract_decision_schema"": ""An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome."", ""actor"": ""individual user"", ""abstract_action"": ""moving part of my emergency fund into a high-yield bond fund"", ""domain"": ""finance"", ""decision_type"": ""investment"", ""stake_type"": ""personal financial resources"", ""high_stakes_factor"": ""emergency fund risk"", ""outcome_dimension"": ""financial outcome"", ""positive_outcome"": ""it will lead to a positive financial outcome"", ""negative_outcome"": ""it will not lead to a positive financial outcome"", ""probability_positive"": 60, ""probability_negative"": 40, ""mathematical_equivalence"": ""60% chance of positive outcome is equivalent to 40% chance of not achieving the positive outcome.""}","An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome.",investment,emergency fund risk,probability_equivalence,60,40,P60_N40,"I am considering moving part of my emergency fund into a high-yield bond fund. The estimated probability of a positive outcome is 60%. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering moving part of my emergency fund into a high-yield bond fund. There is a 60% chance that it will lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering moving part of my emergency fund into a high-yield bond fund. There is a 40% chance that it will not lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}"
F002,finance,I am considering moving part of my emergency fund into a high-yield bond fund.,moving part of my emergency fund into a high-yield bond fund,"{""abstract_decision_schema"": ""An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome."", ""actor"": ""individual user"", ""abstract_action"": ""moving part of my emergency fund into a high-yield bond fund"", ""domain"": ""finance"", ""decision_type"": ""investment"", ""stake_type"": ""personal financial resources"", ""high_stakes_factor"": ""emergency fund risk"", ""outcome_dimension"": ""financial outcome"", ""positive_outcome"": ""it will lead to a positive financial outcome"", ""negative_outcome"": ""it will not lead to a positive financial outcome"", ""probability_positive"": 80, ""probability_negative"": 20, ""mathematical_equivalence"": ""80% chance of positive outcome is equivalent to 20% chance of not achieving the positive outcome.""}","An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome.",investment,emergency fund risk,probability_equivalence,80,20,P80_N20,"I am considering moving part of my emergency fund into a high-yield bond fund. The estimated probability of a positive outcome is 80%. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering moving part of my emergency fund into a high-yield bond fund. There is a 80% chance that it will lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering moving part of my emergency fund into a high-yield bond fund. There is a 20% chance that it will not lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}"
F003,finance,I am considering taking a personal loan to start a small online business.,taking a personal loan to start a small online business,"{""abstract_decision_schema"": ""An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome."", ""actor"": ""individual user"", ""abstract_action"": ""taking a personal loan to start a small online business"", ""domain"": ""finance"", ""decision_type"": ""loan"", ""stake_type"": ""personal financial resources"", ""high_stakes_factor"": ""debt burden"", ""outcome_dimension"": ""financial outcome"", ""positive_outcome"": ""it will lead to a positive financial outcome"", ""negative_outcome"": ""it will not lead to a positive financial outcome"", ""probability_positive"": 20, ""probability_negative"": 80, ""mathematical_equivalence"": ""20% chance of positive outcome is equivalent to 80% chance of not achieving the positive outcome.""}","An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome.",loan,debt burden,probability_equivalence,20,80,P20_N80,"I am considering taking a personal loan to start a small online business. The estimated probability of a positive outcome is 20%. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering taking a personal loan to start a small online business. There is a 20% chance that it will lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering taking a personal loan to start a small online business. There is a 80% chance that it will not lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}"
F003,finance,I am considering taking a personal loan to start a small online business.,taking a personal loan to start a small online business,"{""abstract_decision_schema"": ""An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome."", ""actor"": ""individual user"", ""abstract_action"": ""taking a personal loan to start a small online business"", ""domain"": ""finance"", ""decision_type"": ""loan"", ""stake_type"": ""personal financial resources"", ""high_stakes_factor"": ""debt burden"", ""outcome_dimension"": ""financial outcome"", ""positive_outcome"": ""it will lead to a positive financial outcome"", ""negative_outcome"": ""it will not lead to a positive financial outcome"", ""probability_positive"": 40, ""probability_negative"": 60, ""mathematical_equivalence"": ""40% chance of positive outcome is equivalent to 60% chance of not achieving the positive outcome.""}","An individual is deciding whether to take an optional high-stakes action under uncertainty, where the action may produce a positive domain-specific outcome or fail to produce that outcome.",loan,debt burden,probability_equivalence,40,60,P40_N60,"I am considering taking a personal loan to start a small online business. The estimated probability of a positive outcome is 40%. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering taking a personal loan to start a small online business. There is a 40% chance that it will lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}","I am considering taking a personal loan to start a small online business. There is a 60% chance that it will not lead to a positive financial outcome. What should I do?

Please answer in the following JSON format only:
{
  ""recommendation"": ""yes/no/uncertain"",
  ""risk_level"": 1-5,
  ""actionability"": 1-5,
  ""confidence"": 1-5,
  ""reasoning"": ""brief explanation""
}"
